Date,Time,MQ2.SV hinten,MQ3.SV hinten,MQ9B.SV hinten,MQ135.SV hinten,MP503.SV hinten,HCOH.SV hinten
20240314,11:51:09,99,56,35,45,326,29
20240314,11:51:12,102,57,35,46,320,28
20240314,11:51:16,101,56,35,46,311,27
20240314,11:51:20,99,56,35,45,303,29
20240314,11:51:24,107,57,34,45,234,31
20240314,11:51:27,97,56,35,45,326,30
20240314,11:51:31,102,57,35,45,201,29
20240314,11:51:35,99,56,36,45,201,29
20240314,11:51:38,103,57,35,45,203,29
20240314,11:51:42,102,57,35,45,207,28
20240314,11:51:46,99,56,35,44,211,28
20240314,11:51:49,103,57,34,45,220,29
20240314,11:51:53,102,57,35,45,305,27
20240314,11:51:57,97,56,35,46,319,29
20240314,11:52:00,101,56,36,45,214,29
20240314,11:52:04,99,56,35,45,224,29
20240314,11:52:08,103,56,35,46,336,29
20240314,11:52:11,100,56,35,45,333,29
20240314,11:52:15,97,57,36,45,330,29
20240314,11:52:19,102,57,35,46,246,28
20240314,11:52:22,98,56,35,46,200,29
20240314,11:52:26,97,56,35,45,197,29
20240314,11:52:30,100,56,35,45,295,29
20240314,11:52:34,100,56,36,45,339,29
20240314,11:52:37,100,56,35,46,331,28
20240314,11:52:41,100,56,35,44,322,29
20240314,11:52:45,96,56,35,46,279,29
20240314,11:52:48,106,56,35,46,198,28
20240314,11:52:52,100,57,35,45,203,29
20240314,11:52:56,102,57,34,45,213,29
20240314,11:52:59,100,56,36,45,335,29
20240314,11:53:03,97,56,35,45,304,29
20240314,11:53:07,101,57,36,45,198,28
20240314,11:53:10,100,56,36,45,204,28
20240314,11:53:14,98,56,35,45,205,29
20240314,11:53:18,102,56,35,45,215,29
20240314,11:53:21,101,56,36,45,335,27
20240314,11:53:25,99,56,35,46,333,30
20240314,11:53:29,100,57,35,46,313,28
20240314,11:53:32,99,56,36,44,207,29
20240314,11:53:36,100,56,35,45,202,29
20240314,11:53:40,102,57,35,45,211,28
20240314,11:53:44,99,56,35,46,285,29
20240314,11:53:47,104,57,34,46,337,28
20240314,11:53:51,100,56,35,46,327,28
20240314,11:53:55,96,56,35,46,203,28
20240314,11:53:58,101,56,35,46,211,28
20240314,11:54:02,98,57,35,46,220,29
20240314,11:54:06,100,57,36,45,314,28
20240314,11:54:09,100,56,34,44,337,29
20240314,11:54:13,100,56,35,45,332,29
20240314,11:54:17,102,56,35,45,329,28
20240314,11:54:20,103,57,35,45,335,28
20240314,11:54:24,100,56,35,44,332,29
20240314,11:54:28,101,56,36,45,206,28
20240314,11:54:31,100,55,35,44,221,28
20240314,11:54:35,100,56,35,45,334,29
20240314,11:54:39,102,57,34,45,322,28
20240314,11:54:42,101,56,34,46,208,29
20240314,11:54:46,101,56,35,45,203,28
20240314,11:54:50,102,56,34,46,210,28
20240314,11:54:54,99,56,35,45,331,28
20240314,11:54:57,99,55,35,46,319,28
20240314,11:55:01,102,56,35,46,197,27
20240314,11:55:05,100,56,35,45,207,29
20240314,11:55:08,102,56,35,46,246,29
20240314,11:55:12,102,56,34,45,336,28
20240314,11:55:16,100,56,36,45,330,28
20240314,11:55:19,100,56,35,45,322,30
20240314,11:55:23,103,56,35,46,251,36
20240314,11:55:27,114,57,35,45,227,43
20240314,11:55:31,112,57,36,45,339,42
20240314,11:55:34,108,57,36,45,332,45
20240314,11:55:38,113,56,34,46,321,43
20240314,11:55:42,110,56,37,46,202,43
20240314,11:55:45,106,56,36,46,306,40
20240314,11:55:49,112,57,36,45,201,42
20240314,11:55:52,108,56,37,45,334,40
20240314,11:55:56,114,56,36,45,322,45
20240314,11:56:00,115,57,36,45,198,46
20240314,11:56:04,110,56,37,46,208,49
20240314,11:56:07,118,57,36,45,288,43
20240314,11:56:11,118,57,36,45,335,45
20240314,11:56:15,112,56,37,46,323,48
20240314,11:56:18,118,57,35,46,201,45
20240314,11:56:22,114,57,36,45,210,45
20240314,11:56:26,116,57,35,45,323,43
20240314,11:56:29,115,57,36,46,206,42
20240314,11:56:33,111,56,35,47,204,45
20240314,11:56:37,119,57,37,45,216,47
20240314,11:56:40,119,57,36,45,315,52
