# EMERSON X-STREAM XE	Data Logs
# Device Tag: 	XEA04203188876
# Location: 	MY Plant
# Company: 	MY Company
# Serial: 	XEA04203188876
# Firmware:	1.5.1
# --------	--------	--------
# Date	Time	Ch1:Conce:mg/Nm	Status	Ch1:Temp:°C	Status
1/24/2024	14:11:26	-0.7	G	66.7	G
1/24/2024	14:11:31	-0.3	G	66.7	G
1/24/2024	14:11:36	-0.1	G	66.7	G
1/24/2024	14:11:41	0.0	G	66.7	G
1/24/2024	14:11:46	-0.3	G	66.7	G
1/24/2024	14:11:51	-0.5	G	66.7	G
1/24/2024	14:11:56	-0.6	G	66.7	G
1/24/2024	14:12:01	-0.7	G	66.6	G
1/24/2024	14:12:06	-0.6	G	66.6	G
1/24/2024	14:12:11	-0.6	G	66.6	G
1/24/2024	14:12:16	-0.7	G	66.6	G
1/24/2024	14:12:21	-0.7	G	66.6	G
1/24/2024	14:12:26	-0.7	G	66.6	G
1/24/2024	14:12:31	-0.6	G	66.6	G
1/24/2024	14:12:36	-0.6	G	66.6	G
1/24/2024	14:12:41	-0.6	G	66.6	G
1/24/2024	14:12:46	-0.6	G	66.6	G
1/24/2024	14:12:51	-0.7	G	66.6	G
1/24/2024	14:12:56	-0.8	G	66.6	G
1/24/2024	14:13:01	-1.2	G	66.6	G
1/24/2024	14:13:06	-1.6	G	66.6	G
1/24/2024	14:13:11	-2.0	G	66.6	G
1/24/2024	14:13:16	-2.4	G	66.6	G
1/24/2024	14:13:21	-2.4	G	66.6	G
1/24/2024	14:13:26	-2.2	G	66.6	G
1/24/2024	14:13:31	-2.2	G	66.6	G
1/24/2024	14:13:36	-2.2	G	66.6	G
1/24/2024	14:13:41	-2.2	G	66.6	G
1/24/2024	14:13:46	-2.4	G	66.6	G
1/24/2024	14:13:51	-2.5	G	66.6	G
1/24/2024	14:13:56	-2.6	G	66.6	G
1/24/2024	14:14:01	-2.6	G	66.6	G
1/24/2024	14:14:06	-2.4	G	66.6	G
1/24/2024	14:14:11	-2.0	G	66.6	G
1/24/2024	14:14:16	-1.4	G	66.6	G
1/24/2024	14:14:21	-0.8	G	66.6	G
