Date,Time,MQ2.SV Hinten,MQ3.SV Hinten,MQ9B.SV Hinten,MQ135.SV Hinten,MP503.SV Hinten,HCOH.SV Hinten
20240306,15:58:08.027,127.0,131.0,34.0,46.0,233.0,36.0
20240306,15:58:11.688,123.0,120.0,34.0,46.0,245.0,35.0
20240306,15:58:15.367,121.0,113.0,33.0,45.0,328.0,39.0
20240306,15:58:19.045,120.0,119.0,34.0,46.0,344.0,39.0
20240306,15:58:22.739,121.0,115.0,34.0,47.0,327.0,38.0
20240306,15:58:26.397,124.0,122.0,35.0,47.0,348.0,38.0
20240306,15:58:30.086,119.0,117.0,35.0,46.0,328.0,36.0
20240306,15:58:33.752,123.0,116.0,33.0,45.0,347.0,36.0
20240306,15:58:37.430,122.0,117.0,35.0,46.0,321.0,36.0
20240306,15:58:41.118,120.0,112.0,34.0,46.0,252.0,35.0
20240306,15:58:44.786,121.0,118.0,33.0,45.0,334.0,36.0
20240306,15:58:48.453,124.0,118.0,34.0,45.0,227.0,36.0
20240306,15:58:52.128,123.0,123.0,34.0,46.0,280.0,35.0
20240306,15:58:55.853,125.0,124.0,34.0,46.0,319.0,36.0
20240306,15:58:59.521,126.0,118.0,34.0,46.0,331.0,36.0
20240306,15:59:03.192,127.0,117.0,33.0,44.0,341.0,41.0
20240306,15:59:06.871,125.0,117.0,34.0,45.0,351.0,38.0
20240306,15:59:10.550,131.0,115.0,34.0,46.0,350.0,43.0
20240306,15:59:14.227,127.0,119.0,35.0,46.0,339.0,42.0
20240306,15:59:17.883,123.0,127.0,34.0,46.0,261.0,39.0
20240306,15:59:21.577,120.0,120.0,34.0,46.0,249.0,38.0
20240306,15:59:25.252,120.0,117.0,34.0,44.0,240.0,39.0
20240306,15:59:28.915,129.0,123.0,35.0,46.0,295.0,37.0
20240306,15:59:32.604,124.0,125.0,35.0,46.0,251.0,37.0
20240306,15:59:36.288,121.0,116.0,34.0,46.0,234.0,36.0
20240306,15:59:39.944,116.0,115.0,32.0,45.0,241.0,37.0
