Date,Time,MQ2.SV Vorne,MQ3.SV Vorne,MQ9B.SV Vorne,MQ135.SV Vorne,MP503.SV Vorne,HCOH.SV Vorne
20240306,14:45:00.541,270.0,169.0,42.0,245.0,38.0,581.0
20240306,14:45:04.219,264.0,161.0,36.0,273.0,38.0,517.0
20240306,14:45:07.896,258.0,132.0,34.0,154.0,38.0,430.0
20240306,14:45:11.594,240.0,118.0,34.0,111.0,39.0,427.0
20240306,14:45:15.270,242.0,115.0,36.0,184.0,39.0,476.0
20240306,14:45:18.951,200.0,121.0,40.0,300.0,38.0,540.0
20240306,14:45:22.639,217.0,109.0,34.0,255.0,38.0,473.0
20240306,14:45:26.302,250.0,101.0,35.0,77.0,38.0,513.0
20240306,14:45:29.981,221.0,98.0,33.0,234.0,38.0,462.0
20240306,14:45:33.679,226.0,98.0,33.0,116.0,37.0,461.0
20240306,14:45:37.343,268.0,97.0,36.0,74.0,38.0,440.0
20240306,14:45:41.029,310.0,141.0,41.0,93.0,39.0,587.0
20240306,14:45:44.709,260.0,138.0,38.0,187.0,39.0,533.0
20240306,14:45:48.419,236.0,119.0,36.0,305.0,40.0,491.0
20240306,14:45:52.084,225.0,108.0,34.0,272.0,38.0,405.0
20240306,14:45:55.780,218.0,100.0,32.0,229.0,39.0,320.0
20240306,14:45:59.456,230.0,95.0,32.0,79.0,39.0,343.0
20240306,14:46:03.116,229.0,102.0,36.0,119.0,38.0,434.0
20240306,14:46:06.817,231.0,97.0,34.0,143.0,39.0,416.0
20240306,14:46:10.490,213.0,91.0,33.0,119.0,38.0,350.0
20240306,14:46:14.176,216.0,88.0,32.0,175.0,39.0,330.0
20240306,14:46:17.874,226.0,86.0,32.0,79.0,39.0,297.0
20240306,14:46:21.536,228.0,110.0,35.0,87.0,39.0,372.0
20240306,14:46:25.219,198.0,105.0,35.0,86.0,39.0,474.0
20240306,14:46:28.902,205.0,96.0,34.0,80.0,38.0,436.0
20240306,14:46:32.582,213.0,93.0,33.0,113.0,38.0,405.0
20240306,14:46:36.247,206.0,88.0,32.0,85.0,39.0,312.0
20240306,14:46:39.940,219.0,95.0,34.0,93.0,38.0,416.0
20240306,14:46:43.604,250.0,97.0,33.0,82.0,39.0,393.0
20240306,14:46:47.291,239.0,89.0,33.0,78.0,38.0,293.0
20240306,14:46:50.983,227.0,85.0,34.0,112.0,39.0,211.0
20240306,14:46:54.656,202.0,82.0,32.0,144.0,38.0,276.0
20240306,14:46:58.350,209.0,81.0,33.0,292.0,39.0,285.0
20240306,14:47:02.022,210.0,85.0,34.0,284.0,39.0,353.0
20240306,14:47:05.692,205.0,88.0,33.0,77.0,37.0,391.0
20240306,14:47:09.372,220.0,129.0,36.0,198.0,38.0,501.0
20240306,14:47:13.058,236.0,113.0,33.0,73.0,39.0,366.0
20240306,14:47:16.750,235.0,102.0,32.0,70.0,38.0,238.0
20240306,14:47:20.423,218.0,94.0,33.0,74.0,38.0,225.0
20240306,14:47:24.109,212.0,93.0,33.0,87.0,38.0,236.0
20240306,14:47:27.796,193.0,90.0,32.0,83.0,38.0,344.0
20240306,14:47:31.458,195.0,93.0,32.0,82.0,38.0,427.0
20240306,14:47:35.148,189.0,88.0,32.0,74.0,38.0,360.0
20240306,14:47:38.808,223.0,83.0,32.0,136.0,38.0,253.0
20240306,14:47:42.493,205.0,83.0,32.0,154.0,38.0,203.0
20240306,14:47:46.179,196.0,80.0,33.0,81.0,39.0,235.0
20240306,14:47:49.875,190.0,78.0,33.0,85.0,39.0,323.0
20240306,14:47:53.546,180.0,79.0,32.0,77.0,38.0,321.0
20240306,14:47:57.227,183.0,78.0,32.0,104.0,37.0,322.0
20240306,14:48:00.918,185.0,76.0,32.0,107.0,39.0,280.0
20240306,14:48:04.598,199.0,74.0,32.0,109.0,38.0,291.0
20240306,14:48:08.258,197.0,74.0,34.0,120.0,38.0,392.0
20240306,14:48:11.954,197.0,73.0,32.0,108.0,38.0,364.0
20240306,14:48:15.634,209.0,76.0,35.0,111.0,37.0,401.0
20240306,14:48:19.306,202.0,74.0,33.0,99.0,39.0,353.0
20240306,14:48:22.981,189.0,73.0,33.0,127.0,38.0,411.0
20240306,14:48:26.662,192.0,71.0,34.0,120.0,38.0,477.0
20240306,14:48:30.354,172.0,70.0,34.0,251.0,38.0,370.0
20240306,14:48:34.045,202.0,72.0,35.0,279.0,38.0,403.0
20240306,14:48:37.725,190.0,72.0,34.0,264.0,39.0,364.0
20240306,14:48:41.402,192.0,71.0,32.0,284.0,38.0,290.0
20240306,14:48:45.073,215.0,75.0,33.0,281.0,38.0,298.0
20240306,14:48:48.778,217.0,81.0,33.0,277.0,38.0,358.0
20240306,14:48:52.448,218.0,85.0,35.0,271.0,39.0,352.0
20240306,14:48:56.143,210.0,80.0,32.0,151.0,37.0,258.0
20240306,14:48:59.805,187.0,76.0,33.0,218.0,37.0,244.0
20240306,14:49:03.509,180.0,73.0,32.0,75.0,38.0,338.0
20240306,14:49:07.179,173.0,72.0,33.0,147.0,38.0,316.0
20240306,14:49:10.861,179.0,71.0,32.0,175.0,38.0,286.0
20240306,14:49:14.530,176.0,68.0,33.0,204.0,38.0,251.0
20240306,14:49:18.223,176.0,68.0,32.0,227.0,38.0,264.0
20240306,14:49:21.902,168.0,67.0,32.0,230.0,38.0,283.0
20240306,14:49:25.585,170.0,68.0,33.0,202.0,39.0,308.0
20240306,14:49:29.265,178.0,67.0,33.0,83.0,39.0,283.0
20240306,14:49:32.946,178.0,67.0,33.0,73.0,39.0,289.0
20240306,14:49:36.639,191.0,69.0,32.0,83.0,38.0,285.0
20240306,14:49:40.325,189.0,68.0,33.0,80.0,38.0,374.0
20240306,14:49:43.992,183.0,68.0,32.0,67.0,38.0,301.0
20240306,14:49:47.673,199.0,73.0,32.0,117.0,38.0,275.0
20240306,14:49:51.359,177.0,72.0,32.0,114.0,38.0,251.0
20240306,14:49:55.019,181.0,69.0,33.0,76.0,39.0,250.0
20240306,14:49:58.716,165.0,68.0,32.0,171.0,38.0,335.0
20240306,14:50:02.399,185.0,67.0,32.0,124.0,39.0,297.0
20240306,14:50:06.072,203.0,68.0,32.0,81.0,38.0,243.0
20240306,14:50:09.769,177.0,66.0,31.0,88.0,38.0,201.0
20240306,14:50:13.422,198.0,66.0,31.0,72.0,37.0,205.0
20240306,14:50:17.118,204.0,70.0,32.0,103.0,38.0,263.0
20240306,14:50:20.807,197.0,69.0,33.0,95.0,37.0,325.0
20240306,14:50:24.474,191.0,69.0,34.0,77.0,38.0,356.0
20240306,14:50:28.168,175.0,67.0,33.0,128.0,39.0,282.0
20240306,14:50:31.833,185.0,67.0,32.0,235.0,39.0,283.0
20240306,14:50:35.525,176.0,66.0,32.0,74.0,38.0,276.0
20240306,14:50:39.201,164.0,67.0,32.0,103.0,38.0,318.0
20240306,14:50:42.882,176.0,66.0,32.0,75.0,38.0,271.0
20240306,14:50:46.563,168.0,65.0,32.0,71.0,38.0,284.0
20240306,14:50:50.231,172.0,68.0,33.0,163.0,39.0,387.0
20240306,14:50:53.928,174.0,67.0,33.0,155.0,38.0,381.0
20240306,14:50:57.604,175.0,67.0,32.0,161.0,38.0,288.0
20240306,14:51:01.285,174.0,66.0,35.0,114.0,37.0,377.0
20240306,14:51:04.979,185.0,74.0,34.0,329.0,37.0,432.0
20240306,14:51:08.655,176.0,76.0,35.0,49.0,38.0,464.0
20240306,14:51:12.334,139.0,73.0,33.0,69.0,38.0,280.0
20240306,14:51:16.012,128.0,70.0,32.0,231.0,37.0,167.0
20240306,14:51:19.689,122.0,69.0,32.0,234.0,37.0,122.0
20240306,14:51:23.371,117.0,67.0,32.0,234.0,39.0,98.0
20240306,14:51:27.056,113.0,66.0,32.0,247.0,38.0,87.0
20240306,14:51:30.738,113.0,65.0,32.0,252.0,38.0,78.0
20240306,14:51:34.404,109.0,64.0,32.0,260.0,38.0,73.0
20240306,14:51:38.109,107.0,65.0,33.0,256.0,36.0,67.0
20240306,14:51:41.778,106.0,65.0,32.0,219.0,38.0,64.0
